player1,player2,val_3,val_6,raw,total
201586_2018-19,201959_2018-19,1,1,0.33,2
201586_2018-19,201960_2018-19,1,1,0.33,2
201586_2018-19,202683_2018-19,0,0,0.16,1
201586_2018-19,202685_2018-19,4,3,0.83,5
201586_2018-19,203090_2018-19,0,0,0.16,1
201586_2018-19,203110_2018-19,0,0,0.16,1
201586_2018-19,203458_2018-19,1,1,0.33,2
201586_2018-19,203473_2018-19,2,1,0.5,3
201586_2018-19,203991_2018-19,0,0,0.16,1
201959_2018-19,201960_2018-19,0,0,0.16,1
201959_2018-19,202683_2018-19,1,1,0.33,2
201959_2018-19,202685_2018-19,0,0,0.16,1
201959_2018-19,203090_2018-19,0,0,0.16,1
201959_2018-19,203110_2018-19,0,0,0.16,1
201959_2018-19,203458_2018-19,1,1,0.33,2
201959_2018-19,203473_2018-19,1,1,0.33,2
201959_2018-19,203991_2018-19,0,0,0.16,1
201960_2018-19,202683_2018-19,0,0,0.16,1
201960_2018-19,202685_2018-19,1,1,0.33,2
201960_2018-19,203090_2018-19,0,0,0.16,1
201960_2018-19,203110_2018-19,0,0,0.16,1
201960_2018-19,203458_2018-19,0,0,0.16,1
201960_2018-19,203473_2018-19,0,0,0.16,1
201960_2018-19,203991_2018-19,0,0,0.16,1
202683_2018-19,202685_2018-19,1,1,0.33,2
202683_2018-19,203090_2018-19,0,0,0.16,1
202683_2018-19,203110_2018-19,0,0,0.16,1
202683_2018-19,203458_2018-19,0,0,0.16,1
202683_2018-19,203473_2018-19,0,0,0.16,1
202683_2018-19,203991_2018-19,0,0,0.16,1
202685_2018-19,203090_2018-19,0,0,0.16,1
202685_2018-19,203110_2018-19,0,0,0.16,1
202685_2018-19,203458_2018-19,0,0,0.16,1
202685_2018-19,203473_2018-19,1,1,0.33,2
202685_2018-19,203991_2018-19,0,0,0.16,1
203090_2018-19,203110_2018-19,0,0,0.16,1
203090_2018-19,203458_2018-19,0,0,0.16,1
203090_2018-19,203473_2018-19,0,0,0.16,1
203090_2018-19,203991_2018-19,0,0,0.16,1
203110_2018-19,203458_2018-19,0,0,0.16,1
203110_2018-19,203473_2018-19,0,0,0.16,1
203110_2018-19,203991_2018-19,0,0,0.16,1
203458_2018-19,203473_2018-19,2,1,0.5,3
203458_2018-19,203991_2018-19,0,0,0.16,1
203473_2018-19,203991_2018-19,0,0,0.16,1
101109_2018-19,101181_2018-19,3,2,0.66,4
101109_2018-19,1626170_2018-19,1,1,0.33,2
101109_2018-19,1627758_2018-19,0,0,0.16,1
101109_2018-19,1627782_2018-19,1,1,0.33,2
101109_2018-19,1627824_2018-19,0,0,0.16,1
101109_2018-19,1628373_2018-19,1,1,0.33,2
101109_2018-19,1628385_2018-19,0,0,0.16,1
101109_2018-19,1628413_2018-19,0,0,0.16,1
101109_2018-19,1629003_2018-19,0,0,0.16,1
101109_2018-19,1629004_2018-19,2,1,0.5,3
101109_2018-19,1629059_2018-19,1,1,0.33,2
101109_2018-19,1629244_2018-19,0,0,0.16,1
101109_2018-19,202498_2018-19,0,0,0.16,1
101109_2018-19,203960_2018-19,0,0,0.16,1
101109_2018-19,2736_2018-19,0,0,0.16,1
101181_2018-19,1626170_2018-19,2,1,0.5,3
101181_2018-19,1627758_2018-19,0,0,0.16,1
101181_2018-19,1627782_2018-19,1,1,0.33,2
101181_2018-19,1627824_2018-19,0,0,0.16,1
101181_2018-19,1628373_2018-19,0,0,0.16,1
101181_2018-19,1628385_2018-19,0,0,0.16,1
101181_2018-19,1628413_2018-19,1,1,0.33,2
101181_2018-19,1629003_2018-19,1,1,0.33,2
101181_2018-19,1629004_2018-19,3,2,0.66,4
101181_2018-19,1629059_2018-19,1,1,0.33,2
101181_2018-19,1629244_2018-19,1,1,0.33,2
101181_2018-19,202498_2018-19,0,0,0.16,1
101181_2018-19,203960_2018-19,0,0,0.16,1
101181_2018-19,2736_2018-19,0,0,0.16,1
1626170_2018-19,1627758_2018-19,0,0,0.16,1
1626170_2018-19,1627782_2018-19,1,1,0.33,2
1626170_2018-19,1627824_2018-19,0,0,0.16,1
1626170_2018-19,1628373_2018-19,0,0,0.16,1
1626170_2018-19,1628385_2018-19,0,0,0.16,1
1626170_2018-19,1628413_2018-19,0,0,0.16,1
1626170_2018-19,1629003_2018-19,1,1,0.33,2
1626170_2018-19,1629004_2018-19,0,0,0.16,1
1626170_2018-19,1629059_2018-19,1,1,0.33,2
1626170_2018-19,1629244_2018-19,0,0,0.16,1
1626170_2018-19,202498_2018-19,0,0,0.16,1
1626170_2018-19,203960_2018-19,0,0,0.16,1
1626170_2018-19,2736_2018-19,0,0,0.16,1
1627758_2018-19,1627782_2018-19,0,0,0.16,1
1627758_2018-19,1627824_2018-19,0,0,0.16,1
