id,group,pos,name,season,GroupYear,pid,team,AGE,FG%,PTS,REB,AST,STL,BLK,TOV,+/-
1626157_2016-17,10,C,Karl-Anthony Towns,2016-17,Group 10 (2016-17),1626157.0,MIN,21.0,0.542,25.1,12.3,2.7,0.7,1.3,2.6,-0.3
201152_2016-17,3,PF,Thaddeus Young,2016-17,Group 3 (2016-17),201152.0,IND,29.0,0.527,11.0,6.1,1.6,1.5,0.4,1.3,0.9
201586_2016-17,10,PF,Serge Ibaka,2016-17,Group 10 (2016-17),201586.0,TOR,27.0,0.48,14.8,6.8,0.9,0.5,1.6,1.3,-1.8
202734_2016-17,9,SG,ETwaun Moore,2016-17,Group 9 (2016-17),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
203460_2016-17,4,SF,Andre Roberson,2016-17,Group 4 (2016-17),203460.0,OKC,25.0,0.464,6.6,5.1,1.0,1.2,1.0,0.6,1.8
203503_2016-17,1,SG,Tony Snell,2016-17,Group 1 (2016-17),203503.0,MIL,25.0,0.455,8.5,3.1,1.2,0.7,0.2,0.7,-1.5
201565_2016-17,2,PG,Derrick Rose,2016-17,Group 2 (2016-17),201565.0,NYK,28.0,0.471,18.0,3.8,4.4,0.7,0.3,2.3,-2.6
201933_2016-17,10,PF,Blake Griffin,2016-17,Group 10 (2016-17),201933.0,LAC,28.0,0.493,21.6,8.1,4.9,0.9,0.4,2.3,7.2
202691_2016-17,2,SG,Klay Thompson,2016-17,Group 2 (2016-17),202691.0,GSW,27.0,0.468,22.3,3.7,2.1,0.8,0.5,1.6,10.3
1626156_2016-17,7,PG,DAngelo Russell,2016-17,Group 7 (2016-17),No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
201587_2016-17,7,SG,Nicolas Batum,2016-17,Group 7 (2016-17),201587.0,CHA,28.0,0.403,15.1,6.2,5.9,1.1,0.4,2.5,0.9
203490_2016-17,7,SF,Otto Porter Jr.,2016-17,Group 7 (2016-17),203490.0,WAS,24.0,0.516,13.4,6.4,1.5,1.5,0.5,0.6,2.4
